source,case,hunk_idx,category,n_removed,n_added,rem_chars,add_chars,word_jaccard,whitespace_only,indent_only,hunk_header
minimal,01_simple_replace,0,typo_fix,1,1,11,12,1.0,0,0,@@ -1 +1 @@
minimal,02_simple_insert,0,typo_fix,1,1,11,12,1.0,0,0,@@ -1 +1 @@
minimal,04_word_replace,0,word_replace,1,1,12,12,0.333,0,0,"@@ -1,2 +1,2 @@"
minimal,05_delete_to_eol,0,word_replace,1,1,11,3,0.333,0,0,@@ -1 +1 @@
minimal,06_insert_at_eol,0,word_replace,1,1,3,7,0.5,0,0,@@ -1 +1 @@
minimal,07_insert_at_bol,0,word_replace,1,1,3,6,0.5,0,0,@@ -1 +1 @@
minimal,08_line_replace,0,line_replace,1,1,3,3,0.0,0,0,"@@ -1,3 +1,3 @@"
minimal,09_delete_middle_line,0,line_delete,1,0,5,0,0.0,0,0,"@@ -1,3 +1,2 @@"
minimal,10_delete_first_line,0,line_delete,1,0,5,0,0.0,0,0,"@@ -1,3 +1,2 @@"
minimal,11_delete_last_line,0,line_delete,1,0,5,0,0.0,0,0,"@@ -1,3 +1,2 @@"
minimal,12_insert_line_at_end,0,line_insert,0,1,0,5,0.0,0,0,"@@ -1,2 +1,3 @@"
minimal,13_insert_line_at_start,0,line_insert,0,1,0,5,0.0,0,0,"@@ -1,2 +1,3 @@"
minimal,14_insert_line_in_middle,0,line_insert,0,1,0,5,0.0,0,0,"@@ -1,2 +1,3 @@"
minimal,15_join_two_lines,0,format_only,2,1,7,6,0.0,1,0,"@@ -1,2 +1 @@"
minimal,16_split_line,0,format_only,1,2,6,7,0.0,1,0,"@@ -1 +1,2 @@"
minimal,17_multi_line_delete,0,block_delete,3,0,17,0,0.0,0,0,"@@ -1,5 +1,2 @@"
minimal,18_indent_change,0,indent_change,1,1,7,11,1.0,1,1,"@@ -1,2 +1,2 @@"
minimal,20_unicode,0,line_replace,1,1,4,4,0.0,0,0,@@ -1 +1 @@
minimal,21_empty_old,0,line_insert,0,1,0,5,0.0,0,0,"@@ -0,0 +1 @@"
minimal,22_empty_new,0,line_delete,1,0,5,0,0.0,0,0,"@@ -1 +0,0 @@"
minimal,24_pure_add_at_eof,0,line_insert,0,1,0,3,0.0,0,0,"@@ -1 +1,2 @@"
minimal,25_complex_mix,0,line_expand,1,2,18,36,0.4,0,0,"@@ -1,8 +1,9 @@"
minimal,26_delete_line_op,0,block_delete,2,0,3,0,0.0,0,0,"@@ -1,5 +1,3 @@"
minimal,27_weird_insert,0,block_replace,3,2,85,34,0.1,0,0,"@@ -1,5 +1,4 @@"
examples,01_small_python,0,block_delete,3,0,60,0,0.0,0,0,"@@ -1,3 +0,0 @@"
examples,02_large_python,0,block_modify,19,65,951,2424,0.526,0,0,"@@ -1,68 +1,114 @@"
examples,02_large_python,1,line_insert,0,1,0,19,0.0,0,0,"@@ -70,6 +116,7 @@"
examples,03_json_config,0,block_replace,5,17,132,444,0.267,0,0,"@@ -1,14 +1,26 @@"
examples,04_shell_script,0,block_replace,11,39,347,1179,0.433,0,0,"@@ -1,26 +1,54 @@"
examples,05_go_code,0,block_replace,4,69,161,1458,0.188,0,0,"@@ -1,16 +1,81 @@"
examples,06_typescript,0,block_replace,7,42,206,1173,0.235,0,0,"@@ -2,22 +2,57 @@"
examples,07_text_prose,0,block_replace,18,30,845,1311,0.436,0,0,"@@ -1,24 +1,36 @@"
examples,08_rust_code,0,line_expand,1,16,37,427,0.143,0,0,"@@ -1,5 +1,20 @@"
examples,09_c_code,0,block_replace,2,9,46,205,0.211,0,0,"@@ -1,11 +1,18 @@"
examples,10_yaml_config,0,block_replace,4,18,91,377,0.208,0,0,"@@ -1,10 +1,24 @@"
examples,11_html,0,block_replace,4,20,89,573,0.231,0,0,"@@ -1,10 +1,26 @@"
examples,12_css,0,block_replace,5,35,100,609,0.263,0,0,"@@ -1,13 +1,43 @@"
examples,13_java,0,block_insert,0,7,0,216,0.0,0,0,"@@ -5,4 +5,11 @@"
examples,14_kotlin,0,block_modify,2,8,80,238,0.5,0,0,"@@ -1,6 +1,12 @@"
examples,15_swift,0,block_replace,3,13,103,348,0.458,0,0,"@@ -1,9 +1,19 @@"
examples,16_ruby,0,block_modify,3,9,87,259,0.643,0,0,"@@ -1,12 +1,18 @@"
examples,17_php,0,block_replace,4,14,137,431,0.364,0,0,"@@ -1,12 +1,22 @@"
examples,18_scala,0,block_insert,0,4,0,167,0.0,0,0,"@@ -1,4 +1,8 @@"
examples,19_elixir,0,block_replace,2,12,42,333,0.167,0,0,"@@ -1,5 +1,15 @@"
examples,20_clojure,0,line_expand,1,8,15,147,0.188,0,0,"@@ -1,7 +1,14 @@"
examples,21_haskell,0,line_expand,1,11,26,317,0.118,0,0,"@@ -1,8 +1,18 @@"
examples,22_lua,0,block_replace,2,11,58,254,0.353,0,0,"@@ -1,7 +1,16 @@"
examples,23_perl,0,line_expand,1,12,28,236,0.1,0,0,"@@ -1,9 +1,20 @@"
examples,24_r,0,line_expand,1,13,27,255,0.176,0,0,"@@ -1,6 +1,18 @@"
examples,26_markdown,0,block_replace,3,36,115,621,0.204,0,0,"@@ -1,11 +1,44 @@"
examples,27_xml,0,block_replace,4,19,95,630,0.115,0,0,"@@ -1,12 +1,27 @@"
examples,28_toml,0,block_replace,2,14,31,291,0.083,0,0,"@@ -1,6 +1,18 @@"
examples,29_dockerfile,0,block_replace,3,16,49,419,0.132,0,0,"@@ -1,6 +1,19 @@"
examples,30_makefile,0,block_replace,5,20,79,352,0.346,0,0,"@@ -1,10 +1,25 @@"
examples,31_javascript,0,block_replace,3,16,83,375,0.207,0,0,"@@ -1,11 +1,24 @@"
examples,32_python_classes,0,block_replace,6,30,147,782,0.25,0,0,"@@ -1,14 +1,38 @@"
examples,33_large_python,0,block_replace,170,355,5630,12596,0.206,0,0,"@@ -1,208 +1,393 @@"
examples,34_large_javascript,0,block_move,89,44,2583,1644,0.328,0,0,"@@ -1,101 +1,56 @@"
examples,34_large_javascript,1,block_move,146,206,4435,6464,0.529,0,0,"@@ -107,177 +62,237 @@"
examples,34_large_javascript,2,block_move,35,22,1095,651,0.25,0,0,"@@ -287,50 +302,37 @@"
examples,35_large_perl,0,block_replace,45,171,1427,5188,0.323,0,0,"@@ -1,97 +1,223 @@"
examples,35_large_perl,1,block_move,76,11,2296,486,0.241,0,0,"@@ -100,99 +226,34 @@"
examples,35_large_perl,2,block_move,130,186,4087,7287,0.223,0,0,"@@ -200,175 +261,231 @@"
examples,36_large_rust,0,block_move,96,278,2888,8283,0.266,0,0,"@@ -1,137 +1,319 @@"
examples,36_large_rust,1,block_move,145,47,4456,1597,0.45,0,0,"@@ -139,165 +321,67 @@"
examples,36_large_rust,2,block_move,105,138,3912,4553,0.374,0,0,"@@ -305,133 +389,166 @@"
examples,37_large_go,0,block_move,123,300,3934,8958,0.295,0,0,"@@ -1,167 +1,344 @@"
examples,37_large_go,1,block_move,152,177,5171,6595,0.275,0,0,"@@ -170,223 +347,248 @@"
examples,38_large_java,0,block_move,14,56,645,2419,0.206,0,0,"@@ -1,41 +1,83 @@"
examples,38_large_java,1,block_move,231,176,9570,8649,0.277,0,0,"@@ -43,278 +85,223 @@"
examples,38_large_java,2,line_expand,1,3,30,101,0.364,0,0,"@@ -327,7 +314,9 @@"
examples,38_large_java,3,block_modify,3,3,111,172,0.5,0,0,"@@ -337,12 +326,12 @@"
examples,38_large_java,4,block_move,4,2,139,125,0.9,0,0,"@@ -350,12 +339,10 @@"
examples,38_large_java,5,block_replace,4,4,123,237,0.455,0,0,"@@ -364,11 +351,11 @@"
examples,38_large_java,6,block_replace,6,105,297,4648,0.152,0,0,"@@ -378,34 +365,133 @@"
examples,38_large_java,7,block_replace,3,3,234,164,0.435,0,0,"@@ -427,15 +513,15 @@"
examples,38_large_java,8,block_modify,2,3,161,165,0.833,0,0,"@@ -458,11 +544,12 @@"
examples,38_large_java,9,block_move,20,19,1124,1157,0.877,0,0,"@@ -484,35 +571,34 @@"
examples,39_large_typescript,0,block_replace,402,418,12680,15028,0.29,0,0,"@@ -1,463 +1,479 @@"
examples,40_large_csharp,0,block_move,470,522,17873,21045,0.27,0,0,"@@ -1,552 +1,604 @@"
examples,40_large_csharp,1,block_move,89,154,4159,7260,0.268,0,0,"@@ -560,135 +612,200 @@"
examples,41_large_ruby,0,block_move,173,25,6940,1213,0.148,0,0,"@@ -1,207 +1,59 @@"
examples,41_large_ruby,1,block_move,66,14,2766,589,0.135,0,0,"@@ -210,85 +62,33 @@"
examples,41_large_ruby,2,block_move,265,671,12174,19333,0.393,0,0,"@@ -305,348 +105,754 @@"
examples,42_large_huge_python,0,block_replace,31,199,974,5599,0.105,0,0,"@@ -1,58 +1,226 @@"
examples,42_large_huge_python,1,block_move,854,891,32494,39140,0.528,0,0,"@@ -109,907 +277,944 @@"
gitanim_history,9aa92e50/ad.c,0,block_replace,8,5,419,226,0.25,0,0,"@@ -272,14 +272,11 @@ void load_file(const char *path) {"
gitanim_history,9aa92e50/ad.c,1,block_insert,0,6,0,262,0.0,0,0,"@@ -757,6 +754,12 @@ int main(int argc, char **argv) {"
gitanim_history,b147cac9/README.md,0,block_replace,12,52,448,1249,0.358,0,0,"@@ -1,19 +1,59 @@"
gitanim_history,9bb01fee/README.md,0,line_insert,0,1,0,162,0.0,0,0,"@@ -16,6 +16,7 @@ by the orchestrator (`pipeline/ad_postprocess`)."
gitanim_history,9bb01fee/ad_layer_join_insert_in_place.c,0,block_insert,0,121,0,4760,0.0,0,0,"@@ -0,0 +1,121 @@"
gitanim_history,9bb01fee/README.md,0,line_insert,0,1,0,66,0.0,0,0,"@@ -21,6 +21,7 @@ Manpages for all ad tools."
gitanim_history,9bb01fee/audit_help.sh,0,block_insert,0,2,0,75,0.0,0,0,"@@ -21,6 +21,8 @@ declare -a TOOLS=("
gitanim_history,56c7a351/SCRIPTS_AND_BINARIES_REFERENCE.md,0,block_insert,0,116,0,12123,0.0,0,0,"@@ -0,0 +1,116 @@"
gitanim_history,ddd6fd21/ad_layer_batch_whitespace.c,0,block_insert,0,2,0,159,0.0,0,0,"@@ -16,12 +16,14 @@ static int is_ws(int code) { return code == WS_TAB || code == WS_SPACE; }"
gitanim_history,ddd6fd21/ad_layer_batch_whitespace.c,1,line_insert,0,1,0,106,0.0,0,0,"@@ -63,6 +65,7 @@ int main(int argc, char **argv) {"
gitanim_history,ddd6fd21/ad_layer_common.h,0,line_replace,1,1,50,57,0.067,0,0,"@@ -4,7 +4,7 @@"
gitanim_history,ddd6fd21/ad_layer_common.h,1,line_expand,1,35,74,1327,0.059,0,0,"@@ -25,10 +25,44 @@"
gitanim_history,ddd6fd21/ad_layer_common.h,2,word_replace,1,1,39,51,0.75,0,0,"@@ -356,7 +390,7 @@ __attribute__((unused)) static int ad_layer_run("
gitanim_history,ddd6fd21/ad_layer_common.h,3,block_insert,0,4,0,192,0.0,0,0,"@@ -364,12 +398,16 @@ __attribute__((unused)) static int ad_layer_run("
gitanim_history,ddd6fd21/ad_layer_common.h,4,block_insert,0,2,0,161,0.0,0,0,"@@ -380,8 +418,10 @@ __attribute__((unused)) static int ad_layer_run("
gitanim_history,ddd6fd21/ad_layer_line_delete_in_place.c,0,literal_replace,1,1,78,82,1.0,0,0,"@@ -2,7 +2,7 @@"
gitanim_history,ddd6fd21/ad_layer_line_delete_in_place.c,1,block_modify,2,2,123,131,1.0,0,0,"@@ -11,12 +11,12 @@"
gitanim_history,ddd6fd21/ad_layer_line_delete_in_place.c,2,line_insert,0,1,0,122,0.0,0,0,"@@ -65,6 +65,7 @@ static int layer_line_delete_in_place(Op *ops, int n_ops, Op *out, int out_cap,"
gitanim_history,ddd6fd21/ad_layer_line_delete_in_place.c,3,block_insert,0,3,0,235,0.0,0,0,"@@ -107,6 +108,9 @@ static int layer_line_delete_in_place(Op *ops, int n_ops, Op *out, int out_cap,"
gitanim_history,ddd6fd21/ad_layer_line_delete_in_place.c,4,line_insert,0,1,0,168,0.0,0,0,"@@ -123,6 +127,7 @@ static int layer_line_delete_in_place(Op *ops, int n_ops, Op *out, int out_cap,"
gitanim_history,ddd6fd21/ad_layer_line_delete_in_place.c,5,literal_replace,1,1,74,77,1.0,0,0,"@@ -148,7 +153,7 @@ static int layer_line_delete_in_place(Op *ops, int n_ops, Op *out, int out_cap,"
gitanim_history,ddd6fd21/ad_layer_split_in_place.c,0,block_modify,2,2,114,116,1.0,0,0,"@@ -1,9 +1,9 @@"
gitanim_history,ddd6fd21/ad_layer_split_in_place.c,1,line_insert,0,1,0,78,0.0,0,0,"@@ -21,6 +21,7 @@ int main(int argc, char **argv) {"
gitanim_history,ddd6fd21/ad_layer_split_in_place.c,2,line_expand,1,2,80,218,0.438,0,0,"@@ -93,7 +94,8 @@ int main(int argc, char **argv) {"
gitanim_history,994f19b0/compute.cpp,0,block_replace,10,5,667,367,0.148,0,0,"@@ -838,17 +838,12 @@ int main(int argc, char** argv) {"
gitanim_history,994f19b0/ANIMATION_ANALYSIS_02_large_python.md,0,block_delete,120,0,4984,0,0.0,0,0,"@@ -1,120 +0,0 @@"
gitanim_history,2e1cdf76/compute.cpp,0,block_replace,5,10,367,667,0.148,0,0,"@@ -838,12 +838,17 @@ int main(int argc, char** argv) {"
gitanim_history,2e1cdf76/ANIMATION_ANALYSIS_02_large_python.md,0,block_insert,0,120,0,4984,0.0,0,0,"@@ -0,0 +1,120 @@"
gitanim_history,eda49d35/INDEPENDENT_LAYERS_DESIGN.md,0,block_insert,0,212,0,8132,0.0,0,0,"@@ -0,0 +1,212 @@"
gitanim_history,dd01d1c8/ad_layer_common.h,0,line_expand,1,2,48,100,0.8,0,0,"@@ -283,7 +283,8 @@ __attribute__((unused)) static int ad_layer_is_line_op(Op *op) {"
gitanim_history,eb74973a/ad_layer_line_delete_in_place.c,0,line_expand,1,48,79,2238,0.069,0,0,"@@ -42,7 +42,54 @@ static int layer_line_delete_in_place(Op *ops, int n_ops, Op *out, int out_cap,"
gitanim_history,212ab1a1/ad_layer_pace.c,0,block_insert,0,15,0,719,0.0,0,0,"@@ -980,6 +980,21 @@ int main(int argc, char **argv) {"
gitanim_history,f5a4b5d9/compute.cpp,0,block_replace,59,27,3598,1685,0.278,0,0,"@@ -822,88 +822,56 @@ int main(int argc, char** argv) {"
gitanim_history,2ec1dc6d/ad.c,0,block_modify,3,3,302,208,0.731,0,0,"@@ -653,10 +653,10 @@ int main(int argc, char **argv) {"
gitanim_history,2ec1dc6d/ad.c,1,block_modify,2,2,129,131,0.833,0,0,"@@ -717,8 +717,8 @@ int main(int argc, char **argv) {"
gitanim_history,2ec1dc6d/ad_layer_batch_whitespace.c,0,block_move,83,8,2902,406,0.197,0,0,"@@ -1,109 +1,34 @@"
gitanim_history,2ec1dc6d/ad_layer_batch_whitespace.c,1,block_replace,60,39,2671,1758,0.247,0,0,"@@ -115,80 +40,59 @@ int main(int argc, char **argv) {"
gitanim_history,2ec1dc6d/ad_layer_common.h,0,block_insert,0,36,0,1432,0.0,0,0,"@@ -162,6 +162,42 @@ static int ad_layer_parse_op(const char *line, Op *op) {"
gitanim_history,2ec1dc6d/ad_layer_common.h,1,block_insert,0,11,0,601,0.0,0,0,"@@ -207,6 +243,17 @@ static void ad_layer_write_op(Op *op) {"
gitanim_history,2ec1dc6d/ad_layer_batch_whitespace.pl,0,block_insert,0,116,0,3502,0.0,0,0,"@@ -0,0 +1,116 @@"
gitanim_history,bd0ea3f6/ad.c,0,block_insert,0,22,0,908,0.0,0,0,"@@ -763,6 +763,28 @@ int main(int argc, char **argv) {"
gitanim_history,bd0ea3f6/compute.cpp,0,line_expand,1,2,59,105,0.6,0,0,"@@ -29,7 +29,8 @@ using namespace std;"
gitanim_history,bd0ea3f6/compute.cpp,1,block_insert,0,110,0,5873,0.0,0,0,"@@ -798,6 +799,116 @@ int main(int argc, char** argv) {"
gitanim_history,bd0ea3f6/compute.cpp,2,block_insert,0,7,0,442,0.0,0,0,"@@ -838,6 +949,13 @@ int main(int argc, char** argv) {"
gitanim_history,bd0ea3f6/ad_layer_common.h,0,line_expand,1,2,47,98,0.8,0,0,"@@ -235,7 +235,8 @@ __attribute__((unused)) static int ad_layer_is_debug_op(Op *op) {"
gitanim_history,650796d7/ad.c,0,block_insert,0,18,0,760,0.0,0,0,"@@ -717,6 +717,24 @@ int main(int argc, char **argv) {"
gitanim_history,650796d7/ad_layer_batch_whitespace.c,0,block_insert,0,194,0,6859,0.0,0,0,"@@ -0,0 +1,194 @@"
gitanim_history,1b184c59/ad_layer_split_in_place.c,0,block_move,115,10,4555,664,0.224,0,0,"@@ -1,127 +1,22 @@"
gitanim_history,1b184c59/ad_layer_split_in_place.c,1,block_replace,13,130,856,5109,0.172,0,0,"@@ -130,21 +25,138 @@ int main(int argc, char **argv) {"
gitanim_history,bba04d7e/README.md,0,line_insert,0,1,0,162,0.0,0,0,"@@ -15,6 +15,7 @@ by the orchestrator (`pipeline/ad_postprocess`)."
gitanim_history,bba04d7e/ad_layer_split_in_place.c,0,block_insert,0,150,0,5990,0.0,0,0,"@@ -0,0 +1,150 @@"
gitanim_history,bba04d7e/README.md,0,line_insert,0,1,0,64,0.0,0,0,"@@ -20,6 +20,7 @@ Manpages for all ad tools."
gitanim_history,bba04d7e/audit_help.sh,0,line_insert,0,1,0,33,0.0,0,0,"@@ -20,6 +20,7 @@ declare -a TOOLS=("
gitanim_history,c4dff618/ad_suggest.sh,0,block_replace,15,53,500,2102,0.149,0,0,"@@ -46,34 +46,72 @@ HELP"
gitanim_history,ba4a8c7b/COMPLETE_OPTIONS_REFERENCE.md,0,block_replace,20,8,466,387,0.209,0,0,"@@ -34,29 +34,17 @@ ad_vim --speed 2 old.py new.py"
gitanim_history,ba4a8c7b/OPTIONS_ANALYSIS.md,0,block_insert,0,8,0,451,0.0,0,0,"@@ -6,6 +6,14 @@ This document analyzes all ad_vim options for redundancy, grouping"
gitanim_history,ba4a8c7b/OPTIONS_OVERVIEW.md,0,block_insert,0,8,0,421,0.0,0,0,"@@ -4,6 +4,14 @@ This document shows how all the options influence the animation at a"
gitanim_history,ba4a8c7b/options.md,0,block_insert,0,120,0,2813,0.0,0,0,"@@ -92,6 +92,126 @@ Print version and exit."
gitanim_history,ba4a8c7b/ad_layer_highlight.c,0,line_insert,0,1,0,102,0.0,0,0,"@@ -108,6 +108,7 @@ void parse_args(int argc, char **argv) {"
gitanim_history,ba4a8c7b/ad_suggest.sh,0,block_insert,0,41,0,1432,0.0,0,0,"@@ -4,6 +4,47 @@"
gitanim_history,ba4a8c7b/ad_suggest.sh,1,word_replace,1,1,87,61,0.778,0,0,"@@ -41,7 +82,7 @@ dv_suggest_option() {"
gitanim_history,ba4a8c7b/ad_suggest.sh,2,block_replace,7,8,397,581,0.437,0,0,"@@ -50,13 +91,14 @@ DV_ALL_OPTIONS=("
gitanim_history,4a12075c/ad.c,0,block_delete,2,0,142,0,0.0,0,0,"@@ -75,8 +75,6 @@ static int show_line_numbers = 0;"
gitanim_history,4a12075c/ad.c,1,word_replace,1,1,46,27,0.75,0,0,"@@ -418,7 +416,7 @@ void batch_insert(int *codes, int count) {"
gitanim_history,4a12075c/ad.c,2,line_delete,1,0,89,0,0.0,0,0,"@@ -575,7 +573,6 @@ int main(int argc, char **argv) {"
gitanim_history,4a12075c/ad.c,3,block_delete,2,0,203,0,0.0,0,0,"@@ -592,8 +589,6 @@ int main(int argc, char **argv) {"
gitanim_history,4a12075c/ad.c,4,block_delete,9,0,375,0,0.0,0,0,"@@ -630,17 +625,8 @@ int main(int argc, char **argv) {"
gitanim_history,4a12075c/API_REFERENCE.md,0,word_replace,1,1,41,20,0.6,0,0,"@@ -208,7 +208,7 @@ void render(void);"
gitanim_history,4a12075c/CODE_ANALYSIS.md,0,block_modify,5,8,316,448,0.5,0,0,"@@ -126,11 +126,14 @@ The function walks ops and pushes them one-by-one — output is identical to inp"
gitanim_history,4a12075c/COMPLETE_OPTIONS_REFERENCE.md,0,block_delete,6,0,110,0,0.0,0,0,"@@ -34,12 +34,6 @@ ad_vim --speed 2 old.py new.py"
gitanim_history,4a12075c/IMPROVEMENT_PROPOSALS.md,0,block_replace,4,6,204,354,0.438,0,0,"@@ -34,13 +34,15 @@ Last updated: 2026-09-09 (reflects `refactor/no-newline-in-char-ops` branch)"
gitanim_history,4a12075c/IMPROVEMENT_PROPOSALS.md,1,block_replace,2,3,112,173,0.448,0,0,"@@ -888,8 +890,9 @@ for debug info."
gitanim_history,4a12075c/IMPROVEMENT_PROPOSALS.md,2,line_expand,1,2,30,125,0.0,0,0,"@@ -913,7 +916,8 @@ earlier."
gitanim_history,4a12075c/OPTIONS_ANALYSIS.md,0,literal_replace,1,1,53,40,0.8,0,0,"@@ -105,7 +105,7 @@ canceling pairs are already handled."
gitanim_history,4a12075c/OPTION_AUDIT_2026-09-10.md,0,block_insert,0,167,0,6674,0.0,0,0,"@@ -0,0 +1,167 @@"
gitanim_history,4a12075c/REQUIREMENTS.md,0,block_replace,2,3,87,175,0.379,0,0,"@@ -198,8 +198,9 @@ Reads timed V2 TSV from stdin, applies ops to a buffer, renders to terminal."
