category,layer,correct,n_ops,n_delete,n_insert,n_overwrite_insert,n_keep,interleave_flicker,unmerged_del_ins_pairs
typo_fix,(no layer),1,12,0,1,0,11,0,0
typo_fix,ad_layer_reorder,1,12,0,1,0,11,0,0
typo_fix,ad_layer_overwrite,1,12,0,1,0,11,0,0
typo_fix,ad_layer_indent_last,1,12,0,1,0,11,0,0
typo_fix,ad_layer_line_delete_in_place,1,12,0,1,0,11,0,0
typo_fix,ad_layer_split_in_place,1,12,0,1,0,11,0,0
typo_fix,ad_layer_join_insert_in_place,1,12,0,1,0,11,0,0
typo_fix,ad_layer_batch_whitespace,1,12,0,1,0,11,0,0
typo_fix,ad_layer_skip_indent,1,12,0,1,0,11,0,0
typo_fix,ad_layer_line_replace,0,0,0,0,0,0,0,0
word_replace,(no layer),1,16,4,4,0,8,1,2
word_replace,ad_layer_reorder,1,16,4,4,0,8,1,2
word_replace,ad_layer_overwrite,1,16,4,4,0,8,1,2
word_replace,ad_layer_indent_last,1,16,4,4,0,8,1,2
word_replace,ad_layer_line_delete_in_place,1,16,4,4,0,8,1,2
word_replace,ad_layer_split_in_place,1,16,4,4,0,8,1,2
word_replace,ad_layer_join_insert_in_place,1,16,4,4,0,8,1,2
word_replace,ad_layer_batch_whitespace,1,16,4,4,0,8,1,2
word_replace,ad_layer_skip_indent,1,16,4,4,0,8,1,2
word_replace,ad_layer_line_replace,1,0,0,0,0,0,0,0
line_replace,(no layer),1,6,3,3,0,0,0,1
line_replace,ad_layer_reorder,1,6,3,3,0,0,0,1
line_replace,ad_layer_overwrite,1,6,3,3,0,0,0,1
line_replace,ad_layer_indent_last,1,6,3,3,0,0,0,1
line_replace,ad_layer_line_delete_in_place,1,6,3,3,0,0,0,1
line_replace,ad_layer_split_in_place,1,6,3,3,0,0,0,1
line_replace,ad_layer_join_insert_in_place,1,6,3,3,0,0,0,1
line_replace,ad_layer_batch_whitespace,1,6,3,3,0,0,0,1
line_replace,ad_layer_skip_indent,1,6,3,3,0,0,0,1
line_replace,ad_layer_line_replace,1,0,0,0,0,0,0,0
line_insert,(no layer),1,5,0,5,0,0,0,0
line_insert,ad_layer_reorder,1,5,0,5,0,0,0,0
line_insert,ad_layer_overwrite,1,5,0,5,0,0,0,0
